,id,name,pos,evenTimeOnIce,evenPoints
373,8477943.0,Brendan Perlini,L,378:57,4.0
374,8477946.0,Dylan Larkin,C,1226:22,39.0
375,8477952.0,Robby Fabbri,C,829:13,23.0
376,8478036.0,Christoffer Ehn,C,493:43,4.0
377,8478857.0,Dmytro Timashov,L,371:38,9.0
378,8479425.0,Filip Hronek,D,1178:14,21.0
379,8469465.0,Dan Hamhuis,D,727:22,8.0
380,8473560.0,Korbinian Holzer,D,700:55,3.0
381,8474009.0,Nick Bonino,C,835:43,34.0
382,8474068.0,Kyle Turris,C,773:20,21.0
383,8474134.0,Yannick Weber,D,561:44,3.0
384,8474600.0,Roman Josi,D,1414:05,42.0
385,8475168.0,Matt Duchene,C,937:57,31.0
386,8475176.0,Ryan Ellis,D,927:50,29.0
387,8475218.0,Mattias Ekholm,D,1306:49,26.0
388,8475225.0,Craig Smith,R,767:14,24.0
389,8475714.0,Calle Jarnkrok,C,803:48,23.0
390,8475766.0,Austin Watson,L,555:21,12.0
391,8475793.0,Ryan Johansen,C,915:58,26.0
392,8475797.0,Jarred Tinordi,D,423:55,4.0
393,8475798.0,Mikael Granlund,C,918:14,23.0
394,8476278.0,Colin Blackwell,C,293:22,10.0
395,8476428.0,Rocco Grimaldi,R,825:05,31.0
396,8476887.0,Filip Forsberg,L,887:56,34.0
397,8476925.0,Colton Sissons,C,670:38,14.0
398,8477901.0,Daniel Carr,L,111:32,1.0
399,8478042.0,Viktor Arvidsson,R,749:35,20.0
400,8478508.0,Yakov Trenin,C,203:59,6.0
401,8478851.0,Alexandre Carrier,D,32:20,0.0
402,8479371.0,Dante Fabbro,D,1162:55,10.0
403,8470151.0,Jay Bouwmeester,D,1058:32,8.0
404,8470257.0,Alexander Steen,L,629:44,16.0
405,8471426.0,Troy Brouwer,R,121:23,1.0
406,8474102.0,David Perron,L,1086:34,33.0
407,8474125.0,Carl Gunnarsson,D,499:37,6.0
408,8474145.0,Robert Bortuzzo,D,446:15,6.0
409,8474565.0,Alex Pietrangelo,D,1347:28,29.0
410,8474618.0,Marco Scandella,D,962:55,13.0
411,8475098.0,Tyler Bozak,C,825:30,24.0
412,8475158.0,Ryan O'Reilly,C,1103:07,42.0
413,8475170.0,Brayden Schenn,C,1091:50,37.0
414,8475753.0,Justin Faulk,D,1268:33,12.0
415,8475765.0,Vladimir Tarasenko,R,137:16,7.0
416,8475768.0,Jaden Schwartz,L,1076:09,37.0
417,8476884.0,Derrick Pouliot,D,16:40,0.0
418,8476892.0,Colton Parayko,D,1298:02,22.0
419,8476897.0,Oskar Sundqvist,C,715:04,21.0
420,8476907.0,Mackenzie MacEachern,L,452:35,10.0
421,8477455.0,Jacob de la Rose,L,476:16,9.0
422,8477482.0,Zach Sanford,L,730:45,29.0
423,8477964.0,Ivan Barbashev,C,810:25,23.0
424,8478013.0,Jake Walman,D,11:04,0.0
425,8478040.0,Austin Poganski,R,05:54,0.0
426,8478104.0,Sammy Blais,L,472:32,13.0
427,8478407.0,Vince Dunn,D,1044:50,13.0
428,8478859.0,Niko Mikkola,D,67:17,1.0
429,8479385.0,Jordan Kyrou,C,295:30,8.0
